TesteCode,MeasCode,TestName,LL,UL,dB,Product,*,+,-,Analysis,Limit,Status
AMPLITUDE_35,AOLALA34,AUDIO_OUTPUT_LEFT_ALERT_AMP_00140,73.15331174,85.55331174,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_34,AOLALA33,AUDIO_OUTPUT_LEFT_ALERT_AMP_00160,75.29252019,86.79252019,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_33,AOLALA32,AUDIO_OUTPUT_LEFT_ALERT_AMP_00180,77.36682669,88.06682669,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_32,AOLALA31,AUDIO_OUTPUT_LEFT_ALERT_AMP_00200,79.13527441,89.13527441,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_31,AOLALA30,AUDIO_OUTPUT_LEFT_ALERT_AMP_00224,81.29261074,90.29261074,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_30,AOLALA29,AUDIO_OUTPUT_LEFT_ALERT_AMP_00250,83.17135417,91.57135417,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_29,AOLALA28,AUDIO_OUTPUT_LEFT_ALERT_AMP_00280,84.85925548,93.35925548,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_28,AOLALA27,AUDIO_OUTPUT_LEFT_ALERT_AMP_00315,86.75262384,94.75262384,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_27,AOLALA26,AUDIO_OUTPUT_LEFT_ALERT_AMP_00355,88.79323242,96.79323242,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_26,AOLALA25,AUDIO_OUTPUT_LEFT_ALERT_AMP_00400,90.94532506,98.94532506,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_25,AOLALA24,AUDIO_OUTPUT_LEFT_ALERT_AMP_00450,92.66478663,100.6647866,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_24,AOLALA23,AUDIO_OUTPUT_LEFT_ALERT_AMP_00500,93.96389601,101.963896,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
