TesteCode,MeasCode,TestName,LL,UL,dB,Product,*,+,-,Analysis,Limit,Status
AMPLITUDE_35,AORALA34,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00140,71.50061911,82.80061911,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_34,AORALA33,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00160,74.36215998,84.86215998,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_33,AORALA32,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00180,76.71649465,86.71649465,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_32,AORALA31,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00200,78.76006124,88.76006124,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_31,AORALA30,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00224,80.21510248,89.91510248,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_30,AORALA29,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00250,82.21871896,91.41871896,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_29,AORALA28,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00280,84.56440109,93.46440109,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_28,AORALA27,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00315,86.71252595,95.61252595,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_27,AORALA26,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00355,89.06672913,97.86672913,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_26,AORALA25,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00400,91.55197357,100.2519736,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_25,AORALA24,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00450,93.85694325,102.3569432,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_24,AORALA23,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00500,96.082206,104.482206,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_23,AORALA22,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00560,98.70698261,107.2069826,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_22,AORALA21,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00630,102.0280573,110.0280573,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_21,AORALA20,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00710,103.7130114,111.7130114,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_20,AORALA19,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00800,104.1737586,112.1737586,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_19,AORALA18,AUDIO_OUTPUT_RIGHT_ALERT_AMP_00900,104.5849629,112.5849629,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
AMPLITUDE_18,AORALA17,AUDIO_OUTPUT_RIGHT_ALERT_AMP_01000,104.815734,112.815734,dBSPL,MANAUS5G23,*,*,*,Audio_Stat_Analysis,Limit for the amplitude.,FALSE
